# Total Jobs Found: 363, Scrape Date: 2026-01-07 13:23:03
title,company,location,posted_date,link,source
Engineering Manager - MLOps & Analytics,Canonical,"Nairobi, Nairobi County, Kenya",2025-08-14,https://ke.linkedin.com/jobs/view/engineering-manager-mlops-analytics-at-canonical-4284585309?position=3&pageNum=0&refId=2Scm64WhChBHuAhpacQbGA%3D%3D&trackingId=0HR6URTE4QR0S3bX92V%2BUQ%3D%3D,LinkedIn
"*** **** – ******* **************, ******** ************ *** *********",********* ***,"******, ******, *****",2025-08-20,https://ke.linkedin.com/jobs/view/shw-lead-%E2%80%93-digital-transformation-business-intelligence-and-reporting-at-safaricom-plc-4288958350?position=4&pageNum=0&refId=2Scm64WhChBHuAhpacQbGA%3D%3D&trackingId=VzMGLeKvHfp8%2Bghso%2BGWCg%3D%3D,LinkedIn
***** **** *******,******** ********,*****,2026-01-06,https://ke.linkedin.com/jobs/view/human-data-manager-at-burjline-builders-4330466083?position=5&pageNum=0&refId=2Scm64WhChBHuAhpacQbGA%3D%3D&trackingId=EWz0qsO3j6MVCeddCJu8Mw%3D%3D,LinkedIn
***** **** ******* - ***********,******,*****,2026-01-06,https://ke.linkedin.com/jobs/view/human-data-manager-freshtalent-at-qureos-4351350403?position=6&pageNum=0&refId=2Scm64WhChBHuAhpacQbGA%3D%3D&trackingId=osU6E9W4XkykVZgfdILauQ%3D%3D,LinkedIn
******* ******* - ****,*********,"*******, ******* ******, *****",2026-01-02,https://ke.linkedin.com/jobs/view/product-manager-data-at-canonical-4346982445?position=7&pageNum=0&refId=2Scm64WhChBHuAhpacQbGA%3D%3D&trackingId=Ggdio0r8FCGbS0XIUHvFVA%3D%3D,LinkedIn
"Operations BI Analyst (Nairobi, Kenya)",EIDU,"Nairobi, Nairobi County, Kenya",2025-10-28,https://ke.linkedin.com/jobs/view/operations-bi-analyst-nairobi-kenya-at-eidu-4318497144?position=1&pageNum=0&refId=kLWJP6j0aZyYlBn0Zluv%2FA%3D%3D&trackingId=v%2BIZSWpfzvvIGWGCBG3%2BMw%3D%3D,LinkedIn
BI Analyst,SunCulture,"Nairobi, Nairobi County, Kenya",2025-11-06,https://ke.linkedin.com/jobs/view/bi-analyst-at-sunculture-4334489257?position=2&pageNum=0&refId=kLWJP6j0aZyYlBn0Zluv%2FA%3D%3D&trackingId=lTIOnn8tjCVcQuxajdoM3Q%3D%3D,LinkedIn
"Operations BI Analyst (Nairobi, Kenya)",EIDU,"Nairobi, Nairobi County, Kenya",2025-10-28,https://ke.linkedin.com/jobs/view/operations-bi-analyst-nairobi-kenya-at-eidu-4318497144?position=1&pageNum=0&refId=Dqa4ih7AZVcngFjTTIW9Eg%3D%3D&trackingId=UQOsbD259Wmo2Am%2FC%2FM3Pw%3D%3D,LinkedIn
BI Analyst,SunCulture,"Nairobi, Nairobi County, Kenya",2025-11-06,https://ke.linkedin.com/jobs/view/bi-analyst-at-sunculture-4334489257?position=2&pageNum=0&refId=Dqa4ih7AZVcngFjTTIW9Eg%3D%3D&trackingId=%2BZg%2BTU8pLFuzMqkvS7NhjA%3D%3D,LinkedIn
Planner,Tatu City,"Tatu City, Kiambu, Kenya",2025-10-08,https://ke.linkedin.com/jobs/view/planner-at-tatu-city-4312010705?position=3&pageNum=0&refId=Dqa4ih7AZVcngFjTTIW9Eg%3D%3D&trackingId=0li%2FMDJFCQO42%2BS74JEeWA%3D%3D,LinkedIn
Business Analyst,OBSS,"Nairobi County, Kenya",2025-12-22,https://ke.linkedin.com/jobs/view/business-analyst-at-obss-4345664729?position=1&pageNum=0&refId=ftr7crp%2FLLFcVyOQea1k2Q%3D%3D&trackingId=OkqpO8FtUbbbzmn1MQxAfw%3D%3D,LinkedIn
Business Analyst,Tatu City,"Tatu City, Kiambu, Kenya",2025-09-22,https://ke.linkedin.com/jobs/view/business-analyst-at-tatu-city-4303973842?position=2&pageNum=0&refId=ftr7crp%2FLLFcVyOQea1k2Q%3D%3D&trackingId=3nTOmkU%2FV58Ja6I57hwnkw%3D%3D,LinkedIn
Business Analyst,Phoenix Heights,"Mombasa, Mombasa County, Kenya",2025-12-06,https://ke.linkedin.com/jobs/view/business-analyst-at-phoenix-heights-4326767164?position=3&pageNum=0&refId=ftr7crp%2FLLFcVyOQea1k2Q%3D%3D&trackingId=Y%2BWTOkiJWPSVIgMF73ayuA%3D%3D,LinkedIn
"Operations BI Analyst (Nairobi, Kenya)",EIDU,"Nairobi, Nairobi County, Kenya",2025-10-28,https://ke.linkedin.com/jobs/view/operations-bi-analyst-nairobi-kenya-at-eidu-4318497144?position=4&pageNum=0&refId=ftr7crp%2FLLFcVyOQea1k2Q%3D%3D&trackingId=D8yx0O%2F1agC6zNz9LfIYUg%3D%3D,LinkedIn
BI Analyst,SunCulture,"Nairobi, Nairobi County, Kenya",2025-11-06,https://ke.linkedin.com/jobs/view/bi-analyst-at-sunculture-4334489257?position=5&pageNum=0&refId=ftr7crp%2FLLFcVyOQea1k2Q%3D%3D&trackingId=AcqM9FwkMoQG%2BozyoSTQ2g%3D%3D,LinkedIn
Business Analyst - Credit Eligibility,M-KOPA,"Nairobi, Nairobi County, Kenya",2025-11-26,https://ke.linkedin.com/jobs/view/business-analyst-credit-eligibility-at-m-kopa-4339230637?position=6&pageNum=0&refId=ftr7crp%2FLLFcVyOQea1k2Q%3D%3D&trackingId=fr%2FhLOxCHFP8%2FzF7VYPh%2BA%3D%3D,LinkedIn
Head of Analytics,Yassir,"Nairobi, Nairobi County, Kenya",2025-09-30,https://ke.linkedin.com/jobs/view/head-of-analytics-at-yassir-4308495688?position=1&pageNum=0&refId=X1XveXW2wWLPihX%2FBFxlYA%3D%3D&trackingId=Az3oNoFmLh7wkltTxohA8Q%3D%3D,LinkedIn
Data Analyst,Odixcity Consulting,Tanzania,2025-11-15,https://tz.linkedin.com/jobs/view/data-analyst-at-odixcity-consulting-4336294955?position=1&pageNum=0&refId=jg8%2BkxMVTG6M%2Bp2KYF0XEg%3D%3D&trackingId=wJwBOGFhPom96icwObMViA%3D%3D,LinkedIn
Business Intelligence Analyst,PalmPay,"Dar es-Salaam, Dar es Salaam, Tanzania",2025-11-06,https://tz.linkedin.com/jobs/view/business-intelligence-analyst-at-palmpay-4337917784?position=2&pageNum=0&refId=jg8%2BkxMVTG6M%2Bp2KYF0XEg%3D%3D&trackingId=8z0UHqIXRJbL7bhZF5Bqaw%3D%3D,LinkedIn
Analyst,TCRA LIMITED,"Mwanza Region, Tanzania",2026-01-07,https://tz.linkedin.com/jobs/view/analyst-at-tcra-limited-4351732273?position=3&pageNum=0&refId=jg8%2BkxMVTG6M%2Bp2KYF0XEg%3D%3D&trackingId=%2Fse3jQEiWMqHK4EMdzEExw%3D%3D,LinkedIn
********** *******,***** ********,"*** *****, ******, ********",2025-12-19,https://tz.linkedin.com/jobs/view/operations-analyst-at-verra-mobility-4314670911?position=4&pageNum=0&refId=jg8%2BkxMVTG6M%2Bp2KYF0XEg%3D%3D&trackingId=TF9qobnqw9z7QQ%2FKr9feVg%3D%3D,LinkedIn
**** *********,******** **********,********,2025-11-15,https://tz.linkedin.com/jobs/view/data-scientist-at-odixcity-consulting-4336115548?position=5&pageNum=0&refId=jg8%2BkxMVTG6M%2Bp2KYF0XEg%3D%3D&trackingId=R7EWTcYO2z%2BKJbV2xO%2Fkhw%3D%3D,LinkedIn
****** *********,******** **********,********,2025-11-14,https://tz.linkedin.com/jobs/view/python-developer-at-odixcity-consulting-4336056585?position=6&pageNum=0&refId=jg8%2BkxMVTG6M%2Bp2KYF0XEg%3D%3D&trackingId=60aZsRDPjsdCGtrEOBZNvw%3D%3D,LinkedIn
***** ********,******** **********,********,2025-11-15,https://tz.linkedin.com/jobs/view/cloud-engineer-at-odixcity-consulting-4336075523?position=7&pageNum=0&refId=jg8%2BkxMVTG6M%2Bp2KYF0XEg%3D%3D&trackingId=8hOzyzsbjfpKPHUFPwIEoQ%3D%3D,LinkedIn
Data Analyst,Odixcity Consulting,Tanzania,2025-11-15,https://tz.linkedin.com/jobs/view/data-analyst-at-odixcity-consulting-4336294955?position=1&pageNum=0&refId=FZJDSDX7aRDn%2Bo%2BSIf8gCQ%3D%3D&trackingId=BGHnX1XoVx4Gx3shIKELcg%3D%3D,LinkedIn
